ALUMINUM,aluminum,Aluminum,
BONE,bone,Bone,
BONE_AVIAN,bone_avian,Avian bone,
BONE_HORN,bone_horn,Horn,
CEREAL,cereal,Cereal,
CHEMICAL,chemical,Chemical,
COPPER,copper,Copper,
CORN,corn,Corn,
CORN_DOMESTICATED,corn_domesticated,Domesticated Corn,
CORN_WILD,corn_wild,Wild Corn,
CREATURE_FOOD,creature_food,Creature Food,
CREATURE_RESOURCES,creature_resources,Creature Resources,
CREATURE_STRUCTURAL,creature_structural,Creature Structural,
ENERGY,energy,Energy,
ENERGY_RENEWABLE,energy_renewable,Renewable energy,
ENERGY_RENEWABLE_SITE_LIMITED,energy_renewable_site_limited,Site-Restricted Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED,energy_renewable_unlimited,Non Site-Restricted Renewable Energy,
ENERGY_RENEWABLE_UNLIMITED_SOLAR,energy_renewable_unlimited_solar,Solar Energy,
ENERGY_RENEWABLE_UNLIMITED_WIND,energy_renewable_unlimited_wind,Wind Energy,
FIBERPLAST,fiberplast,Fiberplast,
FLORA_FOOD,flora_food,Flora Food,
FLORA_RESOURCES,flora_resources,Flora Resources,
FLORA_STRUCTURAL,flora_structural,Flora Structural,
FRUIT,fruit,Fruit,
FRUIT_BERRIES,fruit_berries,Berries,
FRUIT_FLOWERS,fruit_flowers,Flowers,
FRUIT_FRUITS,fruit_fruits,Fruits,
FUEL_PETROCHEM_LIQUID,fuel_petrochem_liquid,Liquid Petrochem Fuel,
FUEL_PETROCHEM_LIQUID_KNOWN,fuel_petrochem_liquid_known,Known Liquid Petrochem Fuel,
FUEL_PETROCHEM_SOLID,fuel_petrochem_solid,Solid Petrochem Fuel,
FUEL_PETROCHEM_SOLID_KNOWN,fuel_petrochem_solid_known,Known Solid Petrochem Fuel,
GAS,gas,Gas,
GAS_INERT,gas_inert,Inert Gas,
GAS_INERT_KNOWN,gas_inert_known,Known Inert Gas,
GAS_REACTIVE,gas_reactive,Reactive Gas,
GAS_REACTIVE_KNOWN,gas_reactive_known,Known Reactive Gas,
GEMSTONE,gemstone,Gemstone,
GEMSTONE_ARMOPHOUS,gemstone_armophous,Amorphous Gemstone,
GEMSTONE_CRYSTALLINE,gemstone_crystalline,Crystalline Gemstone,
HIDE,hide,Hide,
HIDE_BRISTLEY,hide_bristley,Bristley Hide,
HIDE_LEATHERY,hide_leathery,Leathery Hide,
HIDE_SCALEY,hide_scaley,Scaley Hide,
HIDE_WOOLY,hide_wooly,Wooly Hide,
INORGANIC,inorganic,Inorganic,
IRON,iron,Iron,
MEAT,meat,Meat,
MEAT_AVIAN,meat_avian,Avian Meat,
MEAT_CARNIVORE,meat_carnivore,Carnivore Meat,
MEAT_DOMESTICATED,meat_domesticated,Domesticated Meat,
MEAT_EGG,meat_egg,Egg,
MEAT_HERBIVORE,meat_herbivore,Herbivore Meat,
MEAT_INSECT,meat_insect,Insect Meat,
MEAT_REPTILLIAN,meat_reptillian,Reptillian Meat,
MEAT_WILD,meat_wild,Wild Meat,
METAL,metal,Metal,
METAL_FERROUS,metal_ferrous,Ferrous Metal,
METAL_NONFERROUS,metal_nonferrous,Non-Ferrous Metal,
MILK,milk,Milk,
MILK_DOMESTICATED,milk_domesticated,Domesticated Milk,
MILK_WILD,milk_wild,Wild Milk,
MINERAL,mineral,Mineral,
OATS,oats,Oats,
OATS_DOMESTICATED,oats_domesticated,Domesticated Oats,
OATS_WILD,oats_wild,Wild Oats,
ORE,ore,Low-Grade Ore,
ORE_CARBONATE,ore_carbonate,Carbonate Ore,
ORE_EXTRUSIVE,ore_extrusive,Extrusive Ore,
ORE_IGNEOUS,ore_igneous,Igneous Ore,
ORE_INTRUSIVE,ore_intrusive,Intrusive Ore,
ORE_SEDIMENTARY,ore_sedimentary,Sedimentary Ore,
ORE_SILICLASTIC,ore_siliclastic,Siliclastic Ore,
ORGANIC,organic,Organic,
PETROCHEM_INERT,petrochem_inert,Inert Petrochemical,
RADIOACTIVE,radioactive,Radioactive,
RADIOACTIVE_KNOWN,radioactive_known,Known Radioactive,
RICE,rice,Rice,
RICE_DOMESTICATED,rice_domesticated,Domesticated Rice,
RICE_WILD,rice_wild,Wild Rice,
SEAFOOD,seafood,Seafood,
SEAFOOD_CRUSTACEAN,seafood_crustacean,Crustacean,
SEAFOOD_FISH,seafood_fish,Fish,
SEAFOOD_MOLLUSK,seafood_mollusk,Mollusk,
SEEDS,seeds,Seeds,
SOFTWOOD,softwood,Soft Wood,
SOFTWOOD_EVERGREEN,softwood_evergreen,Evergreen Soft Wood,
STEEL,steel,Steel,
VEGETABLE,vegetable,Vegetables,
VEGETABLE_BEANS,vegetable_beans,Beans,
VEGETABLE_FUNGI,vegetable_fungi,Fungi,
VEGETABLE_GREENS,vegetable_greens,Greens,
VEGETABLE_TUBERS,vegetable_tubers,Tubers,
WATER,water,Water,
WHEAT,wheat,Wheat,
WHEAT_DOMESTICATED,wheat_domesticated,Domesticated Wheat,
WHEAT_WILD,wheat_wild,Wild Wheat,
WOOD,wood,Wood,
WOOD_DECIDUOUS,wood_deciduous,Hard Wood,
