ALUMINUM_AGRINIUM,aluminum_agrinium,Agrinium Aluminum,
ALUMINUM_CHROMIUM,aluminum_chromium,Chromium Aluminum,
ALUMINUM_DURALUMIN,aluminum_duralumin,Duralumin Aluminum,
ALUMINUM_LINKSTEEL,aluminum_linksteel,Link-Steel Aluminum,
ALUMINUM_PEROVSKITIC,aluminum_perovskitic,Perovskitic Aluminum,
ALUMINUM_PHRIK,aluminum_phrik,Phrik Aluminum,
ALUMINUM_TITANIUM,aluminum_titanium,Titanium Aluminum,
ARMOPHOUS_BALTARAN,armophous_baltaran,Bal'ta'ran Crystal Amorphous Gemstone,
ARMOPHOUS_BARADIUM,armophous_baradium,Baradium Amorphous Gemstone,
ARMOPHOUS_BOSPRIDIUM,armophous_bospridium,Bospridium Amorphous Gemstone,
ARMOPHOUS_PLEXITE,armophous_plexite,Plexite Amorphous Gemstone,
ARMOPHOUS_REGVIS,armophous_regvis,Regvis Amorphous Gemstone,
ARMOPHOUS_RUDIC,armophous_rudic,Rudic Amorphous Gemstone,
ARMOPHOUS_RYLL,armophous_ryll,Ryll Amorphous Gemstone,
ARMOPHOUS_SEDRELLIUM,armophous_sedrellium,Sedrellium Amorphous Gemstone,
ARMOPHOUS_STYGIUM,armophous_stygium,Stygium Amorphous Gemstone,
ARMOPHOUS_VENDUSII,armophous_vendusii,Vendusii Crystal Amorphous Gemstone,
BONE_AVIAN_CORELLIA,bone_avian_corellia,Corellian Avian Bones,
BONE_AVIAN_DANTOOINE,bone_avian_dantooine,Dantooine Avian Bones,
BONE_AVIAN_DATHOMIR,bone_avian_dathomir,Dathomirian Avian Bones,
BONE_AVIAN_ENDOR,bone_avian_endor,Endorian Avian Bones,
BONE_AVIAN_LOK,bone_avian_lok,Lokian Avian Bones,
BONE_AVIAN_NABOO,bone_avian_naboo,Nabooian Avian Bones,
BONE_AVIAN_RORI,bone_avian_rori,Rori Avian Bones,
BONE_AVIAN_TALUS,bone_avian_talus,Talusian Avian Bones,
BONE_AVIAN_TATOOINE,bone_avian_tatooine,Tatooinian Avian Bones,
BONE_AVIAN_YAVIN4,bone_avian_yavin4,Yavinian Avian Bones,
BONE_HORN_CORELLIA,bone_horn_corellia,Corellian Horn,
BONE_HORN_DANTOOINE,bone_horn_dantooine,Dantooine Horn,
BONE_HORN_DATHOMIR,bone_horn_dathomir,Dothomirian Horn,
BONE_HORN_ENDOR,bone_horn_endor,Endorian Horn,
BONE_HORN_LOK,bone_horn_lok,Lokian Horn,
BONE_HORN_NABOO,bone_horn_naboo,Nabooian Horn,
BONE_HORN_RORI,bone_horn_rori,Rori Horn,
BONE_HORN_TALUS,bone_horn_talus,Talusian Horn,
BONE_HORN_TATOOINE,bone_horn_tatooine,Tatooinian Horn,
BONE_HORN_YAVIN4,bone_horn_yavin4,Yavinian Horn,
BONE_MAMMAL_CORELLIA,bone_mammal_corellia,Corellian Animal Bones,
BONE_MAMMAL_DANTOOINE,bone_mammal_dantooine,Dantooine Animal Bones,
BONE_MAMMAL_DATHOMIR,bone_mammal_dathomir,Dathomirian Animal Bones,
BONE_MAMMAL_ENDOR,bone_mammal_endor,Endorian Animal Bones,
BONE_MAMMAL_LOK,bone_mammal_lok,Lokian  Animal Bones,
BONE_MAMMAL_NABOO,bone_mammal_naboo,Nabooian  Animal Bones,
BONE_MAMMAL_RORI,bone_mammal_rori,Rori  Animal Bones,
BONE_MAMMAL_TALUS,bone_mammal_talus,Talusian  Animal Bones,
BONE_MAMMAL_TATOOINE,bone_mammal_tatooine,Tatooinian  Animal Bones,
BONE_MAMMAL_YAVIN4,bone_mammal_yavin4,Yavinian  Animal Bones,
COPPER_BEYRLLIUS,copper_beyrllius,Beyrllius Copper,
COPPER_BOROCARBITIC,copper_borocarbitic,Conductive Borcarbitic Copper,
COPPER_CODOAN,copper_codoan,Codoan Copper,
COPPER_DESH,copper_desh,Desh Copper,
COPPER_DIATIUM,copper_diatium,Diatium Copper,
COPPER_KELSH,copper_kelsh,Kelsh Copper,
COPPER_MYTHRA,copper_mythra,Mythra Copper,
COPPER_PLATINITE,copper_platinite,Platinite Copper,
COPPER_POLYSTEEL,copper_polysteel,Polysteel Copper,
COPPER_THALLIUM,copper_thallium,Thallium Copper,
CORN_DOMESTICATED_CORELLIA,corn_domesticated_corellia,Corellian Domesticated Corn,
CORN_DOMESTICATED_DANTOOINE,corn_domesticated_dantooine,Dantooine Domesticated Corn,
CORN_DOMESTICATED_DATHOMIR,corn_domesticated_dathomir,Dathomirian Domesticated Corn,
CORN_DOMESTICATED_ENDOR,corn_domesticated_endor,Endorian Domesticated Corn,
CORN_DOMESTICATED_LOK,corn_domesticated_lok,Lokian Domesticated Corn,
CORN_DOMESTICATED_NABOO,corn_domesticated_naboo,Nabooian Domesticated Corn,
CORN_DOMESTICATED_RORI,corn_domesticated_rori,Rori Domesticated Corn,
CORN_DOMESTICATED_TALUS,corn_domesticated_talus,Talusian Domesticated Corn,
CORN_DOMESTICATED_TATOOINE,corn_domesticated_tatooine,Tatooinian Domesticated Corn,
CORN_DOMESTICATED_YAVIN4,corn_domesticated_yavin4,Yavinian Domesticated Corn,
CORN_WILD_CORELLIA,corn_wild_corellia,Corellian Wild Corn,
CORN_WILD_DANTOOINE,corn_wild_dantooine,Dantooine Wild Corn,
CORN_WILD_DATHOMIR,corn_wild_dathomir,Dathomirian Wild Corn,
CORN_WILD_ENDOR,corn_wild_endor,Endorian Wild Corn,
CORN_WILD_LOK,corn_wild_lok,Lokian Wild Corn,
CORN_WILD_NABOO,corn_wild_naboo,Nabooian Wild Corn,
CORN_WILD_RORI,corn_wild_rori,Rori Wild Corn,
CORN_WILD_TALUS,corn_wild_talus,Talusian Wild Corn,
CORN_WILD_TATOOINE,corn_wild_tatooine,Tatooinian Wild Corn,
CORN_WILD_YAVIN4,corn_wild_yavin4,Yavinian Wild Corn,
CRYSTALLINE_BYROTHSIS,crystalline_byrothsis,Byrothsis Crystalline Gemstone,
CRYSTALLINE_GALLINORIAN,crystalline_gallinorian,Gallinorian Rainbow Gem Crystalline Gemstone,
CRYSTALLINE_GREEN_DIAMOND,crystalline_green_diamond,Green Diamond Crystalline Gemstone,
CRYSTALLINE_KEROL_FIREGEM,crystalline_kerol_firegem,Kerol Fire-Gem Crystalline Gemstone,
CRYSTALLINE_LABOI_MINERAL_CRYSTAL,crystalline_laboi_mineral_crystal,Laboi Mineral Crystal Crystalline Gemstone,
CRYSTALLINE_SEAFAH_JEWEL,crystalline_seafah_jewel,Seafah Jewel Crystalline Gemstone,
CRYSTALLINE_SORMAHIL_FIREGEM,crystalline_sormahil_firegem,Sormahil Fire Gem Crystalline Gemstone,
CRYSTALLINE_VERTEX,crystalline_vertex,Vertex Crystalline Gemstone,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_CORELLIA,energy_renewable_site_limited_geothermal_corellia,Corellian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_DANTOOINE,energy_renewable_site_limited_geothermal_dantooine,Dantooine Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_DATHOMIR,energy_renewable_site_limited_geothermal_dathomir,Dathomirian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_ENDOR,energy_renewable_site_limited_geothermal_endor,Endorian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_LOK,energy_renewable_site_limited_geothermal_lok,Lokian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_NABOO,energy_renewable_site_limited_geothermal_naboo,Nabooian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_RORI,energy_renewable_site_limited_geothermal_rori,Rori Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_TALUS,energy_renewable_site_limited_geothermal_talus,Talusian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_TATOOINE,energy_renewable_site_limited_geothermal_tatooine,Tatooinian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_GEOTHERMAL_YAVIN4,energy_renewable_site_limited_geothermal_yavin4,Yavinian Geothermal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_CORELLIA,energy_renewable_site_limited_hydron3_corellia,Corellian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_DANTOOINE,energy_renewable_site_limited_hydron3_dantooine,Dantooine Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_DATHOMIR,energy_renewable_site_limited_hydron3_dathomir,Dathomirian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_ENDOR,energy_renewable_site_limited_hydron3_endor,Endorian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_LOK,energy_renewable_site_limited_hydron3_lok,Lokian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_NABOO,energy_renewable_site_limited_hydron3_naboo,Nabooian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_RORI,energy_renewable_site_limited_hydron3_rori,Rori Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_TALUS,energy_renewable_site_limited_hydron3_talus,Talusian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_TATOOINE,energy_renewable_site_limited_hydron3_tatooine,Tatooinian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_HYDRON3_YAVIN4,energy_renewable_site_limited_hydron3_yavin4,Yavinian Hydron-3 Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_CORELLIA,energy_renewable_site_limited_tidal_corellia,Corellian Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_DANTOOINE,energy_renewable_site_limited_tidal_dantooine,Dantooine Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_DATHOMIR,energy_renewable_site_limited_tidal_dathomir,Dathomirian Tidal Renewable Energy,
ENERGY_RENEWABLE_SITE_LIMITED_TIDAL_ENDOR,energy_renewable_site_limited_tidal_endor,Endor Tidal Renewable Energy,
